<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GBPNZD,20170110,205700,1.7398,1.7398,1.7394,1.7394
GBPNZD,20170110,205800,1.7393,1.7393,1.7391,1.7391
GBPNZD,20170110,205900,1.7392,1.7392,1.7391,1.7392
GBPNZD,20170110,210000,1.7393,1.7393,1.7391,1.7392
GBPNZD,20170110,210100,1.7393,1.7397,1.7393,1.7396
GBPNZD,20170110,210200,1.7397,1.7397,1.7394,1.7394
GBPNZD,20170110,210300,1.7393,1.7393,1.7391,1.7391
GBPNZD,20170110,210400,1.7390,1.7390,1.7390,1.7390
GBPNZD,20170110,210500,1.7390,1.7391,1.7390,1.7390
GBPNZD,20170110,210600,1.7390,1.7391,1.7390,1.7390
GBPNZD,20170110,210700,1.7392,1.7394,1.7392,1.7393
GBPNZD,20170110,210800,1.7392,1.7392,1.7390,1.7390
GBPNZD,20170110,210900,1.7391,1.7391,1.7391,1.7391
GBPNZD,20170110,211000,1.7392,1.7392,1.7391,1.7391
GBPNZD,20170110,211100,1.7392,1.7392,1.7390,1.7391
GBPNZD,20170110,211200,1.7391,1.7391,1.7391,1.7391
GBPNZD,20170110,211300,1.7392,1.7393,1.7392,1.7393
GBPNZD,20170110,211400,1.7394,1.7394,1.7393,1.7394
GBPNZD,20170110,211500,1.7393,1.7393,1.7391,1.7392
GBPNZD,20170110,211600,1.7393,1.7394,1.7393,1.7393
GBPNZD,20170110,211700,1.7392,1.7394,1.7392,1.7394
GBPNZD,20170110,211800,1.7395,1.7398,1.7394,1.7398
GBPNZD,20170110,211900,1.7399,1.7399,1.7397,1.7397
GBPNZD,20170110,212000,1.7396,1.7398,1.7396,1.7397
GBPNZD,20170110,212100,1.7398,1.7399,1.7398,1.7398
GBPNZD,20170110,212200,1.7397,1.7398,1.7397,1.7397
GBPNZD,20170110,212300,1.7396,1.7397,1.7396,1.7397
GBPNZD,20170110,212400,1.7397,1.7397,1.7397,1.7397
GBPNZD,20170110,212500,1.7397,1.7397,1.7397,1.7397
GBPNZD,20170110,212600,1.7398,1.7398,1.7397,1.7397
GBPNZD,20170110,212700,1.7398,1.7398,1.7397,1.7398
GBPNZD,20170110,212800,1.7397,1.7397,1.7397,1.7397
GBPNZD,20170110,212900,1.7397,1.7398,1.7396,1.7398
GBPNZD,20170110,213000,1.7399,1.7399,1.7399,1.7399
GBPNZD,20170110,213100,1.7400,1.7400,1.7399,1.7400
GBPNZD,20170110,213200,1.7401,1.7401,1.7400,1.7400
GBPNZD,20170110,213300,1.7399,1.7400,1.7399,1.7399
GBPNZD,20170110,213400,1.7398,1.7398,1.7397,1.7398
GBPNZD,20170110,213500,1.7399,1.7399,1.7398,1.7398
GBPNZD,20170110,213600,1.7399,1.7399,1.7397,1.7397
GBPNZD,20170110,213700,1.7396,1.7397,1.7395,1.7395
GBPNZD,20170110,213800,1.7396,1.7400,1.7395,1.7400
GBPNZD,20170110,213900,1.7401,1.7403,1.7401,1.7403
GBPNZD,20170110,214000,1.7404,1.7404,1.7403,1.7403
GBPNZD,20170110,214100,1.7404,1.7404,1.7400,1.7400
GBPNZD,20170110,214200,1.7399,1.7400,1.7399,1.7400
GBPNZD,20170110,214300,1.7401,1.7401,1.7400,1.7401
GBPNZD,20170110,214400,1.7400,1.7403,1.7400,1.7402
GBPNZD,20170110,214500,1.7401,1.7403,1.7401,1.7403
GBPNZD,20170110,214600,1.7403,1.7403,1.7402,1.7403
GBPNZD,20170110,214700,1.7402,1.7403,1.7402,1.7402
GBPNZD,20170110,214800,1.7403,1.7404,1.7403,1.7404
GBPNZD,20170110,214900,1.7405,1.7405,1.7403,1.7403
GBPNZD,20170110,215000,1.7404,1.7405,1.7403,1.7404
GBPNZD,20170110,215100,1.7403,1.7404,1.7403,1.7404
GBPNZD,20170110,215200,1.7403,1.7406,1.7403,1.7406
GBPNZD,20170110,215300,1.7403,1.7403,1.7401,1.7401
GBPNZD,20170110,215400,1.7400,1.7401,1.7400,1.7400
GBPNZD,20170110,215500,1.7401,1.7402,1.7401,1.7402
